Date,Price
1975-12-01,-44.47999999999999
1976-01-01,-45.22
1976-02-01,-48.53999999999999
1976-03-01,-45.400000000000006
1976-04-01,-41.900000000000006
1976-05-01,-40.469999999999985
1976-06-01,-38.530000000000015
1976-07-01,-47.43999999999998
1976-08-01,-53.06999999999999
1976-09-01,-30.019999999999982
1976-10-01,-26.639999999999986
1976-11-01,-11.95999999999998
1976-12-01,-5.3700000000000045
1977-01-01,1.2099999999999795
1977-02-01,5.180000000000007
1977-03-01,15.469999999999999
1977-04-01,21.22999999999999
1977-05-01,19.690000000000012
1977-06-01,15.070000000000007
1977-07-01,25.659999999999982
1977-08-01,35.00999999999999
1977-09-01,35.379999999999995
1977-10-01,42.79999999999998
1977-11-01,31.639999999999986
1977-12-01,26.519999999999982
1978-01-01,40.920000000000016
1978-02-01,41.89999999999998
1978-03-01,35.380000000000024
1978-04-01,26.110000000000014
1978-05-01,29.69999999999999
1978-06-01,42.97
1978-07-01,45.34
1978-08-01,61.360000000000014
1978-09-01,62.55000000000001
1978-10-01,68.49000000000001
1978-11-01,44.099999999999994
1978-12-01,47.400000000000006
1979-01-01,54.099999999999994
1979-02-01,67.53
1979-03-01,58.44
1979-04-01,63.83000000000001
1979-05-01,81.27999999999997
1979-06-01,95.32
1979-07-01,106.01000000000002
1979-08-01,94.51999999999998
1979-09-01,142.86999999999998
1979-10-01,164.22000000000003
1979-11-01,185.79000000000002
1979-12-01,247.23
1980-01-01,448.03
1980-02-01,419.6500000000001
1980-03-01,311.53000000000003
1980-04-01,278.29999999999995
1980-05-01,256.21
1980-06-01,321.65000000000003
1980-07-01,348.53
1980-08-01,326.33
1980-09-01,318.68
1980-10-01,269.48999999999995
1980-11-01,232.77999999999997
1980-12-01,83.18
1981-01-01,-117.91999999999996
1981-02-01,-165.56000000000006
1981-03-01,-54.47000000000003
1981-04-01,-21.609999999999957
1981-05-01,-34.099999999999966
1981-06-01,-139.63000000000005
1981-07-01,-234.2
1981-08-01,-216.98999999999995
1981-09-01,-229.88
1981-10-01,-223.39
1981-11-01,-211.39999999999998
1981-12-01,-128.17000000000002
1982-01-01,-173.25
1982-02-01,-125.63
1982-03-01,-168.86
1982-04-01,-145.5
1982-05-01,-145.99
1982-06-01,-146.10999999999996
1982-07-01,-70.09999999999997
1982-08-01,-45.93000000000001
1982-09-01,-6.439999999999998
1982-10-01,-15.610000000000014
1982-11-01,1.5199999999999818
1982-12-01,34.410000000000025
1983-01-01,97.15000000000003
1983-02-01,116.95999999999998
1983-03-01,89.44999999999999
1983-04-01,82.57999999999998
1983-05-01,104.30000000000001
1983-06-01,97.85999999999996
1983-07-01,63.94
1983-08-01,51.96999999999997
1983-09-01,-25.50999999999999
1983-10-01,-28.549999999999955
1983-11-01,-33.19
1983-12-01,-56.160000000000025
1984-01-01,-110.40000000000003
1984-02-01,-105.13
1984-03-01,-25.439999999999998
1984-04-01,-51.50999999999999
1984-05-01,-60.610000000000014
1984-06-01,-35.139999999999986
1984-07-01,-55.200000000000045
1984-08-01,-68.5
1984-09-01,-71.60000000000002
1984-10-01,-52.60000000000002
1984-11-01,-39.69999999999999
1984-12-01,-68.79999999999995
1985-01-01,-68.09999999999997
1985-02-01,-86.85999999999996
1985-03-01,-80.75999999999999
1985-04-01,-54.56999999999999
1985-05-01,-61.39999999999998
1985-06-01,-61.19999999999999
1985-07-01,-30.50999999999999
1985-08-01,-17.30000000000001
1985-09-01,-16.849999999999966
1985-10-01,-15.149999999999977
